token,frekuensi,prob,H_kontribusi
saku,1,0.00011818,0.00154181
istirahat,1,0.00011818,0.00154181
jajan,1,0.00011818,0.00154181
jangan,1,0.00011818,0.00154181
rosiade,1,0.00011818,0.00154181
mmbeli,1,0.00011818,0.00154181
sadar,1,0.00011818,0.00154181
paslon,1,0.00011818,0.00154181
razak,1,0.00011818,0.00154181
bayang,1,0.00011818,0.00154181
dumdum,1,0.00011818,0.00154181
dongo,1,0.00011818,0.00154181
patut,1,0.00011818,0.00154181
retweet,1,0.00011818,0.00154181
konon,1,0.00011818,0.00154181
struktural,1,0.00011818,0.00154181
seluasluasnya,1,0.00011818,0.00154181
ngasi,1,0.00011818,0.00154181
somplak,1,0.00011818,0.00154181
wan,1,0.00011818,0.00154181
kentut,1,0.00011818,0.00154181
asumsi,1,0.00011818,0.00154181
nasbi,1,0.00011818,0.00154181
news,1,0.00011818,0.00154181
gintungkerta,1,0.00011818,0.00154181
klari,1,0.00011818,0.00154181
perlidungan,1,0.00011818,0.00154181
bersamasama,1,0.00011818,0.00154181
anggadita,1,0.00011818,0.00154181
nusa,1,0.00011818,0.00154181
malam,1,0.00011818,0.00154181
gencar,1,0.00011818,0.00154181
karangasem,1,0.00011818,0.00154181
kemensos,1,0.00011818,0.00154181
difabel,1,0.00011818,0.00154181
empat,1,0.00011818,0.00154181
non,1,0.00011818,0.00154181
kemenkop,1,0.00011818,0.00154181
pusing,1,0.00011818,0.00154181
index,1,0.00011818,0.00154181
saham,1,0.00011818,0.00154181
tni,1,0.00011818,0.00154181
diancamancam,1,0.00011818,0.00154181
bapanas,1,0.00011818,0.00154181
kaji,1,0.00011818,0.00154181
tentu,1,0.00011818,0.00154181
polda,1,0.00011818,0.00154181
ingin,1,0.00011818,0.00154181
lawat,1,0.00011818,0.00154181
pemprov,1,0.00011818,0.00154181
lampung,1,0.00011818,0.00154181
fish,1,0.00011818,0.00154181
riyono,1,0.00011818,0.00154181
komisi,1,0.00011818,0.00154181
iv,1,0.00011818,0.00154181
tvrinews,1,0.00011818,0.00154181
yogyakarta,1,0.00011818,0.00154181
pemkab,1,0.00011818,0.00154181
kulonprogo,1,0.00011818,0.00154181
menotong,1,0.00011818,0.00154181
ipolid,1,0.00011818,0.00154181
lombok,1,0.00011818,0.00154181
insider,1,0.00011818,0.00154181
dpppeknas,1,0.00011818,0.00154181
bireuen,1,0.00011818,0.00154181
adik,1,0.00011818,0.00154181
menkop,1,0.00011818,0.00154181
muslimat,1,0.00011818,0.00154181
nu,1,0.00011818,0.00154181
induk,1,0.00011818,0.00154181
kud,1,0.00011818,0.00154181
tengah,1,0.00011818,0.00154181
mendikdasmen,1,0.00011818,0.00154181
boros,1,0.00011818,0.00154181
tanam,1,0.00011818,0.00154181
biasa,1,0.00011818,0.00154181
ciputat,1,0.00011818,0.00154181
kampung,1,0.00011818,0.00154181
yogya,1,0.00011818,0.00154181
supply,1,0.00011818,0.00154181
pakar,1,0.00011818,0.00154181
perlu,1,0.00011818,0.00154181
edu,1,0.00011818,0.00154181
istana,1,0.00011818,0.00154181
presidential,1,0.00011818,0.00154181
communication,1,0.00011818,0.00154181
office,1,0.00011818,0.00154181
pco,1,0.00011818,0.00154181
wamendes,1,0.00011818,0.00154181
pdt,1,0.00011818,0.00154181
riza,1,0.00011818,0.00154181
patria,1,0.00011818,0.00154181
teknologi,1,0.00011818,0.00154181
monitoring,1,0.00011818,0.00154181
alternatif,1,0.00011818,0.00154181
judol,1,0.00011818,0.00154181
ewallet,1,0.00011818,0.00154181
legislator,1,0.00011818,0.00154181
desak,1,0.00011818,0.00154181
sita,1,0.00011818,0.00154181
dpd,1,0.00011818,0.00154181
sultan,1,0.00011818,0.00154181
najamudin,1,0.00011818,0.00154181
suplay,1,0.00011818,0.00154181
simultan,1,0.00011818,0.00154181
murah,1,0.00011818,0.00154181
genjot,1,0.00011818,0.00154181
kur,1,0.00011818,0.00154181
artikel,1,0.00011818,0.00154181
bimtek,1,0.00011818,0.00154181
desember,1,0.00011818,0.00154181
urus,1,0.00011818,0.00154181
dpp,1,0.00011818,0.00154181
dpw,1,0.00011818,0.00154181
dpc,1,0.00011818,0.00154181
vendor,1,0.00011818,0.00154181
investor,1,0.00011818,0.00154181
highlight,1,0.00011818,0.00154181
bicara,1,0.00011818,0.00154181
bahas,1,0.00011818,0.00154181
edan,1,0.00011818,0.00154181
kecil,1,0.00011818,0.00154181
lenyap,1,0.00011818,0.00154181
pres,1,0.00011818,0.00154181
pintar,1,0.00011818,0.00154181
matematika,1,0.00011818,0.00154181
mbujuk,1,0.00011818,0.00154181
penasaran,1,0.00011818,0.00154181
bau,1,0.00011818,0.00154181
amis,1,0.00011818,0.00154181
obrol,1,0.00011818,0.00154181
seru,1,0.00011818,0.00154181
big,1,0.00011818,0.00154181
cheese,1,0.00011818,0.00154181
momen,1,0.00011818,0.00154181
format,1,0.00011818,0.00154181
ideal,1,0.00011818,0.00154181
konsentrasi,1,0.00011818,0.00154181
pt,1,0.00011818,0.00154181
timah,1,0.00011818,0.00154181
bangka,1,0.00011818,0.00154181
mbs,1,0.00011818,0.00154181
ki,1,0.00011818,0.00154181
hadikusumo,1,0.00011818,0.00154181
adab,1,0.00011818,0.00154181
persen,1,0.00011818,0.00154181
miliartahun,1,0.00011818,0.00154181
sosialisasi,1,0.00011818,0.00154181
bendung,1,0.00011818,0.00154181
irigasi,1,0.00011818,0.00154181
kasat,1,0.00011818,0.00154181
binmas,1,0.00011818,0.00154181
ma,1,0.00011818,0.00154181
putri,1,0.00011818,0.00154181
nurul,1,0.00011818,0.00154181
masyithoh,1,0.00011818,0.00154181
sri,1,0.00011818,0.00154181
mulyani,1,0.00011818,0.00154181
gera,1,0.00011818,0.00154181
prancis,1,0.00011818,0.00154181
com,1,0.00011818,0.00154181
kedung,1,0.00011818,0.00154181
badak,1,0.00011818,0.00154181
siliwangi,1,0.00011818,0.00154181
jaksa,1,0.00011818,0.00154181
barter,1,0.00011818,0.00154181
kuesioner,1,0.00011818,0.00154181
kriteria,1,0.00011818,0.00154181
bawah,1,0.00011818,0.00154181
bolee,1,0.00011818,0.00154181
balas,1,0.00011818,0.00154181
yaa,1,0.00011818,0.00154181
kirim,1,0.00011818,0.00154181
linknya,1,0.00011818,0.00154181
pesan,1,0.00011818,0.00154181
terimakasih,1,0.00011818,0.00154181
gais,1,0.00011818,0.00154181
fleksibilitas,1,0.00011818,0.00154181
posko,1,0.00011818,0.00154181
krisis,1,0.00011818,0.00154181
were,1,0.00011818,0.00154181
hiring,1,0.00011818,0.00154181
apta,1,0.00011818,0.00154181
sempat,1,0.00011818,0.00154181
kontribusi,1,0.00011818,0.00154181
